"topics","cv_fold","perplexity_train","perplexity_test"
10,1,1280.17185330913,1293.21403522984
10,2,1278.68443228963,1294.67916594673
10,3,1281.35825281976,1296.24805081812
10,4,1278.33610931247,1303.64404932646
10,5,1283.10342403566,1290.17750254388
106,1,861.895454485829,893.484124581757
106,2,864.569592888876,893.065889941033
106,3,863.720003252879,890.205942411175
106,4,860.373594592288,898.538857940188
106,5,862.795430490634,890.169577827175
11,1,1272.84834443691,1288.00724476556
11,2,1268.01641862143,1284.71073816133
11,3,1266.22595005201,1277.94657721453
11,4,1262.36851569081,1287.40789042095
11,5,1263.42112101147,1272.42582840665
116,1,844.233893937111,876.773389226586
116,2,848.093821560527,877.772802160864
116,3,849.898393577831,877.281487192446
116,4,845.135233315235,883.440245124791
116,5,848.6191175533,875.984789917386
12,1,1250.37200127677,1265.59911696983
12,2,1247.52285661226,1263.65364474329
12,3,1246.92711784619,1260.51035264987
12,4,1244.25596601184,1269.33460845772
12,5,1248.02702402656,1256.5090854075
126,1,833.733624056877,865.477188750523
126,2,834.378635373127,862.675070653709
126,3,835.419755248205,863.375471456452
126,4,832.745282703121,872.018524557105
126,5,836.24386335554,864.197287318901
138,1,819.848972531775,853.043694993196
138,2,820.231784909575,849.743672335121
138,3,820.765424589306,848.505124750941
138,4,817.917177582117,857.967850134258
138,5,822.375729955206,850.105697914166
14,1,1222.92416639939,1239.29025763935
14,2,1220.45741149932,1237.15185755255
14,3,1222.68338397461,1237.15286868804
14,4,1217.77897797522,1242.92960218117
14,5,1220.8604282221,1231.23479631571
15,1,1208.25051334551,1225.58120113121
15,2,1208.43852092386,1226.79559678824
15,3,1208.21751354838,1221.90717106043
15,4,1207.86402420293,1232.51714274458
15,5,1214.82293743434,1226.00387285531
150,1,807.139363422529,841.40867591948
150,2,806.20668657695,835.637331713744
150,3,808.682178077243,837.638469977678
150,4,804.934392510899,845.69073107837
150,5,807.831000926711,836.96040826307
16,1,1198.95827621303,1216.73992813102
16,2,1198.29007187904,1215.9828227172
16,3,1198.18700210657,1211.96964299853
16,4,1193.6971488103,1219.08590896474
16,5,1201.31800198529,1211.13811028567
17,1,1188.57225449223,1204.96338307832
17,2,1185.01898625511,1204.62417220569
17,3,1186.90121651933,1202.58811553563
17,4,1183.12760204149,1210.8763982488
17,5,1187.86219487682,1199.86970222424
19,1,1167.19475981097,1187.54113173563
19,2,1167.22561904484,1186.24662233221
19,3,1169.81329155801,1185.71604035624
19,4,1162.9044682329,1190.43362396529
19,5,1167.98091502944,1180.62785720548
21,1,1149.48764580794,1168.65845143814
21,2,1147.06619333731,1166.26477594135
21,3,1151.47717557196,1167.73543110177
21,4,1148.12961540889,1175.09345228709
21,5,1150.32390093907,1160.71004113821
23,1,1132.3427507778,1152.33512368041
23,2,1133.80062520424,1152.94526322713
23,3,1134.57876912053,1152.07372774307
23,4,1131.32338730764,1160.31402372429
23,5,1133.90483873138,1146.70548891383
25,1,1116.27845220354,1135.31448634753
25,2,1117.63436347541,1136.65105840957
25,3,1119.94566503716,1135.22996748549
25,4,1115.24996708537,1144.13930675923
25,5,1119.69114294996,1133.33060081562
27,1,1104.48163143845,1124.41150703737
27,2,1103.46788738107,1123.36343507893
27,3,1104.38817914296,1121.34167857221
27,4,1100.6159998636,1128.95704470708
27,5,1105.53716329877,1120.4821006233
29,1,1096.75328245071,1118.68053659394
29,2,1092.00099433019,1111.43482665923
29,3,1094.25308119227,1114.08456194446
29,4,1090.56350176634,1120.40816961323
29,5,1093.93400327208,1109.66893391752
32,1,1074.24639864912,1094.29147530346
32,2,1074.57212635349,1096.80354674163
32,3,1076.80998836094,1097.36134104555
32,4,1073.92208248643,1104.67636104773
32,5,1076.67826076111,1093.56565063257
35,1,1057.93134547913,1080.86658611673
35,2,1061.36803683429,1084.37616223553
35,3,1059.53979868995,1077.09025999279
35,4,1056.6902861577,1087.58802438299
35,5,1059.23315639218,1075.87531383692
38,1,1043.66290927577,1066.23941173683
38,2,1047.58817054971,1067.76586996405
38,3,1043.46770815746,1061.07255652751
38,4,1040.9344760712,1071.24327883402
38,5,1047.06379466669,1065.71885796539
41,1,1032.03581284881,1055.79774168807
41,2,1032.90780217738,1056.60387732753
41,3,1030.54943399884,1051.634593105
41,4,1028.12754446139,1058.33770299768
41,5,1031.69805969188,1051.65799811857
45,1,1012.85807680304,1035.93153253422
45,2,1016.2466446306,1039.5075775359
45,3,1016.51598100887,1036.76737560582
45,4,1012.84753921492,1044.34559431621
45,5,1015.65794526014,1036.91775074471
49,1,1001.98634388148,1028.23438590394
49,2,1000.38430300971,1023.26863838427
49,3,1002.3705660738,1023.31091599169
49,4,997.762672792194,1031.68027922065
49,5,1000.56381340225,1021.70644617063
5,1,1406.00453834706,1415.45238382821
5,2,1410.61254194155,1424.80604854328
5,3,1405.91516986078,1416.97341009585
5,4,1404.0719704162,1424.38928659061
5,5,1407.51477034667,1411.554898314
53,1,985.505327062941,1012.72681642291
53,2,985.144415626644,1008.61940658083
53,3,986.748508780221,1008.40362363018
53,4,985.308132580175,1019.24298856285
53,5,985.782058033046,1007.82931002235
58,1,968.077574536269,994.69200107526
58,2,969.330381295593,993.537389772052
58,3,968.106616268566,990.549520353588
58,4,968.034438907432,1002.2070294815
58,5,967.246578787661,990.509900999189
6,1,1377.58373573555,1387.18499339008
6,2,1377.72004771507,1392.60100376691
6,3,1374.67523794928,1385.99122349504
6,4,1373.36766664986,1395.02895127288
6,5,1378.48328041964,1384.48139991637
63,1,955.747506413004,985.042561596535
63,2,954.446186495703,978.646577577958
63,3,955.174645191617,978.71399078399
63,4,950.825770574503,984.805304588388
63,5,953.65482085485,976.451162715686
69,1,937.838025032231,967.821610004267
69,2,938.3317972695,964.270509144412
69,3,937.05463293791,960.285292750967
69,4,934.269298093012,968.085657062169
69,5,937.080163481302,960.166009813719
7,1,1346.03878518534,1355.86321140519
7,2,1344.3442359917,1359.81282685196
7,3,1344.95765098417,1357.51912074135
7,4,1343.07787691203,1367.44871286739
7,5,1347.41382615968,1352.45340826033
75,1,919.905397702393,948.530484040657
75,2,922.075104226141,947.03301389471
75,3,921.861004753347,945.655047072909
75,4,918.194529387739,953.023828003914
75,5,922.7837945474,947.169116851863
8,1,1325.22701524607,1336.46983333069
8,2,1321.39599632274,1336.59597949451
8,3,1319.5572812929,1331.7921578758
8,4,1317.20686065144,1341.1829871517
8,5,1331.31575481686,1337.47384779567
82,1,907.477423591548,937.146965673111
82,2,906.643974606189,933.256424425555
82,3,905.956156984547,929.168842673307
82,4,904.980993273676,940.070690772496
82,5,905.32660403613,930.286043485571
89,1,890.525114116614,919.797801863978
89,2,892.266795905564,919.971305199732
89,3,893.344915143756,918.095944828862
89,4,889.627348853892,926.616782858225
89,5,891.575001790305,917.500627842918
9,1,1303.03984271839,1317.14562426243
9,2,1300.72508856848,1316.66677286917
9,3,1303.99986913267,1314.79455497033
9,4,1296.39690983832,1320.61423398068
9,5,1303.80738304089,1310.84328005108
97,1,877.082055825433,907.505802422687
97,2,876.249483184876,905.177691596103
97,3,875.995735109705,902.383483802199
97,4,874.94240572744,911.765408845978
97,5,877.021078124637,903.280069040695
